"Os dados da coluna desta planilha não abrangem todos os anos, sendo necessário obter 
de alguns anos por interpolação, pois o IBGE não forneceu informações completas. Portanto, esses dados 
devem ser utilizados exclusivamente para fins deste desafio.
",,,,,
Ano,População Estimada,PIB Estimado (R$ em Bilhões),Renda per capita,Interporlação (Renda per capita),
2010,6.574.789,"R$52,10","R$ 660,00","R$ 660,00",
2011,6.651.000,"R$52,20","R$ 665,00","R$ 665,00",
2012,6.727.000,"R$58,80","R$ 682,00","R$ 682,00",
2013,6.803.000,"R$68,50","R$ 680,00","R$ 680,00",
2014,6.850.884,"R$76,84","R$ 690,00","R$ 690,00",
2015,6.904.241,"R$78,48",#N/A,"R$ 692,00",
2016,6.954.036,"R$85,31","R$ 694,00","R$ 694,00",
2017,7.001.161,"R$89,54",#N/A,"R$ 701,50",
2018,7.045.055,"R$98,18","R$ 709,00","R$ 709,00",
2019,7.087.262,"R$97,34","R$ 754,00","R$ 754,00",
2020,7.130.000,"R$106,92","R$ 814,00","R$ 814,00",
2021,7.153.262,"R$124,98",#N/A,"R$ 814,00",
2022,6.775.152,"R$130,00","R$ 814,00","R$ 814,00",
2023,6.776.699,"R$135,00","R$ 969,00","R$ 969,00",
2024,7.010.960,"R$140,00","R$ 969,00","R$ 969,00",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,ANÁLISE DE DADOS,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Ano,População Estimada,PIB Estimado (R$ em Bilhões),Renda per capita,
,2010,6.574.789,"R$52,10","R$ 660,00",
,2011,6.651.000,"R$52,20","R$ 665,00",
,2012,6.727.000,"R$58,80","R$ 682,00",
,2013,6.803.000,"R$68,50","R$ 680,00",
,2014,6.850.884,"R$76,84","R$ 690,00",
,2015,6.904.241,"R$78,48","R$ 692,00",
,2016,6.954.036,"R$85,31","R$ 694,00",
,2017,7.001.161,"R$89,54","R$ 701,50",
,2018,7.045.055,"R$98,18","R$ 709,00",
,2019,7.087.262,"R$97,34","R$ 754,00",
,2020,7.130.000,"R$106,92","R$ 814,00",
,2021,7.153.262,"R$124,98","R$ 814,00",
,2022,6.775.152,"R$130,00","R$ 814,00",
,2023,6.776.699,"R$135,00","R$ 969,00",
,2024,7.010.960,"R$140,00","R$ 969,00",
,Crescimento Populacional,,,,
,Ano,População Estimada,Velocidade,Aceleração,
,2010,6.574.789,,,
,2011,6.651.000,"R$ 76.211,00",,
,2012,6.727.000,"R$ 76.000,00","-R$ 211,00",
,2013,6.803.000,"R$ 76.000,00","R$ 0,00",
,2014,6.850.884,"R$ 47.884,00","-R$ 28.116,00",
,2015,6.904.241,"R$ 53.357,00","R$ 5.473,00",
,2016,6.954.036,"R$ 49.795,00","-R$ 3.562,00",
,2017,7.001.161,"R$ 47.125,00","-R$ 2.670,00",
,2018,7.045.055,"R$ 43.894,00","-R$ 3.231,00",
,2019,7.087.262,"R$ 42.207,00","-R$ 1.687,00",
,2020,7.130.000,"R$ 42.738,00","R$ 531,00",
,2021,7.153.262,"R$ 23.262,00","-R$ 19.476,00",
,2022,6.775.152,"-R$ 378.110,00","-R$ 401.372,00",
,2023,6.776.699,"R$ 1.547,00","R$ 379.657,00",
,2024,7.010.960,"R$ 234.261,00","R$ 232.714,00",
,,,,,
,,,,,
,PIB,,,,
,Ano,PIB Estimado (R$ em Bilhões),Velocidade,Aceleração,
,2010,"R$52,10",,,
,2011,"R$52,20","R$ 0,10",,
,2012,"R$58,80","R$ 6,60","R$ 6,50",
,2013,"R$68,50","R$ 9,70","R$ 3,10",
,2014,"R$76,84","R$ 8,34","-R$ 1,36",
,2015,"R$78,48","R$ 1,64","-R$ 6,70",
,2016,"R$85,31","R$ 6,83","R$ 5,19",
,2017,"R$89,54","R$ 4,23","-R$ 2,60",
,2018,"R$98,18","R$ 8,64","R$ 4,41",
,2019,"R$97,34","-R$ 0,84","-R$ 9,48",
,2020,"R$106,92","R$ 9,58","R$ 10,42",
,2021,"R$124,98","R$ 18,06","R$ 8,48",
,2022,"R$130,00","R$ 5,02","-R$ 13,04",
,2023,"R$135,00","R$ 5,00","-R$ 0,02",
,2024,"R$140,00","R$ 5,00","R$ 0,00",
,,,,,
,,,,,
,,,,,
,Renda Per capita,,,,
,Ano,PIB Estimado (R$ em Bilhões),Renda per capita,Velocidade,Aceleração
,2010,"R$52,10","R$ 660,00",,
,2011,"R$52,20","R$ 665,00","R$ 5,00",
,2012,"R$58,80","R$ 682,00","R$ 17,00","12,00"
,2013,"R$68,50","R$ 680,00","-R$ 2,00","-19,00"
,2014,"R$76,84","R$ 690,00","R$ 10,00","12,00"
,2015,"R$78,48","R$ 692,00","R$ 2,00","-8,00"
,2016,"R$85,31","R$ 694,00","R$ 2,00","0,00"
,2017,"R$89,54","R$ 701,50","R$ 7,50","5,50"
,2018,"R$98,18","R$ 709,00","R$ 7,50","0,00"
,2019,"R$97,34","R$ 754,00","R$ 45,00","37,50"
,2020,"R$106,92","R$ 814,00","R$ 60,00","15,00"
,2021,"R$124,98","R$ 814,00","R$ 0,00","-60,00"
