"Os dados da coluna desta planilha não abrangem todos os anos, sendo necessário obter 
de alguns anos por interpolação, pois o IBGE não forneceu informações completas. Portanto, esses dados 
,2021,"R$ 814,00","R$ 753,83","R$ 60,17","3.620,03"
,2022,"R$ 814,00","R$ 753,83","R$ 60,17","3.620,03"
,2023,"R$ 969,00","R$ 753,83","R$ 215,17","46.296,69"
,2024,"R$ 969,00","R$ 753,83","R$ 215,17","46.296,69"
,VARIÂNCIA  AMOSTRAL,,,,"10.499,13"
,DESVIO PADRÃO ,,,,"102,47"
,,,,,
,,,,,Função Estimativa amostral:
,,,,,"10.499,13"
,,,,,"102,47"
